id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18019638,A small Zen palace in the vibrant heart of Antwerp,77094202,Asia,,Borgerhout Intra Muros Zuid,51.2149,4.43079,Entire home/apt,70,2,20,2019-01-27,2.05,1,176
18050417,Casa Laiosa,51525846,Giuseppe,,Eilandje,51.23194,4.40553,Entire home/apt,72,1,122,2019-01-20,5.41,1,156
18070536,Student bedroom city centre / university / station,107750838,S.,,Universiteitsbuurt,51.22453,4.41165,Private room,50,4,0,,,29,364
18080201,BRIGHT APARTMENT W/PARK VIEW,89467307,Regina,,Deurne Dorp - Gallifort,51.21979,4.46535,Entire home/apt,110,1,1,2017-05-14,0.05,2,0
18118369,Trendy duplex at Antwerp Docklands,48241758,Erik,,Eilandje,51.23469,4.41122,Entire home/apt,135,2,7,2019-01-01,0.32,3,83
18146639,"Leuk, groen en gezellig appartement in Deurne.",19498256,Dennis,,Deurne Oost,51.22154,4.47242,Entire home/apt,45,3,4,2017-07-25,0.19,1,0
18149585,Cozy and bright room in Antwerp,26068953,Henk-Sjoerd,,Stadspark,51.20854,4.41467,Private room,32,1,2,2017-04-30,0.09,1,0
18186103,Retro apartment on a top location in Antwerp,23668480,Joost,,Harmonie,51.20571,4.40545,Entire home/apt,135,2,6,2018-08-22,0.31,1,42
18219944,"Cosy penthouse with great terrace, view ('t Zuid)",20291389,Kevin,,Zuid,51.20868,4.38844,Entire home/apt,45,1,5,2017-06-19,0.23,1,0
18220014,Studio city centre / Estudio centro ciudad,107750838,S.,,Universiteitsbuurt,51.22274,4.40847,Entire home/apt,60,3,1,2017-04-27,0.05,29,364
18221342,House for 10 in south / Casa para 10 en el sur,107750838,S.,,Zuid,51.20688,4.3926,Entire home/apt,350,4,0,,,29,364
18258873,Trendy rooftop apartment in the heart of Antwerp,14203222,Nick,,Centraal Station,51.21682,4.41681,Entire home/apt,74,2,98,2019-02-04,4.84,1,306
18297091,Cosy and well located room in Antwerp,1093398,Victoria,,Markgrave,51.1944,4.40458,Private room,28,1,49,2019-01-27,2.31,1,46
18322026,Very cozy and spacious app. (5min walk to centre),9072712,Kristof,,Amandus - Atheneum,51.22187,4.41844,Entire home/apt,75,2,26,2018-02-26,1.39,1,0
18322107,Antwerp South (Zuid) - Great location!,43942016,Judith,,Zuid,51.20966,4.38743,Private room,35,1,8,2018-05-02,0.38,1,0
18322358,Gezellige loft in oud pakhuis,46955407,Marleen,,Universiteitsbuurt,51.22481,4.40646,Entire home/apt,160,3,11,2019-01-01,0.50,1,326
18351730,Charming studio with garden in historic center,110177368,Vasila,,Theaterbuurt-Meir,51.21045,4.40465,Entire home/apt,80,2,10,2019-01-10,0.46,1,1
18371407,Antwerp new apartment center Antwerpen full comfor,81473695,Robert And Jacky,,Stadspark,51.20377,4.41334,Entire home/apt,112,2,48,2018-12-30,2.20,9,83
18386196,Nice big room with awesome bathroom,14336753,Bert,,Brederode,51.2001,4.39175,Private room,43,1,30,2019-02-10,1.38,10,338
18410477,Cosy apartment in the trendy Antwerp South area,127561807,Anneleen,,Brederode,51.20705,4.39979,Entire home/apt,80,1,9,2018-06-25,0.43,1,0
18423549,"Spacious, bright apartment with garden,bikes incl.",23405614,Dieter,,Stuivenberg,51.22229,4.4395,Entire home/apt,37,1,21,2019-02-03,1.04,1,0
18424677,location,127684888,Koen,,Zurenborg,51.20566,4.42953,Entire home/apt,75,7,0,,,1,0
18444706,Luxurious appartement in Wilrijk (Antwerpen),12257236,Kristien,,Wilrijk Centrum,51.17318,4.39359,Entire home/apt,78,7,15,2019-01-08,0.72,1,247
18475342,Lifestyle No.1,128148374,Jan&Hong,,Historisch Centrum,51.2189,4.4004,Entire home/apt,99,3,19,2018-06-24,0.91,2,339
18507108,Lifestyle  No.2,128148374,Jan&Hong,,Theaterbuurt-Meir,51.21868,4.40583,Entire home/apt,59,4,19,2019-01-02,0.90,2,269
18553878,"Charm appartment on the notorius ""falconplein""",34913046,Laila,,Historisch Centrum,51.22698,4.40337,Entire home/apt,85,1,37,2019-01-26,2.00,6,326
18564682,Sunny apartment,25401182,Rob,,Oud - Berchem,51.19822,4.42831,Entire home/apt,45,1,116,2019-02-11,5.38,1,183
18565578,SPACIOUS apartment in trendy neighbourhood,10658365,Thomas,,Haringrode,51.20089,4.42296,Entire home/apt,99,1,31,2019-02-09,1.53,2,189
18574566,New apartment with great indoor terrace,60756836,Ann,,Nieuw - Zuid,51.20666,4.38418,Entire home/apt,70,4,7,2018-12-16,0.35,5,268
18683212,NEW design & sunny apartment at BEST location!,64707216,Dhawli,,Historisch Centrum,51.22522,4.4,Entire home/apt,60,28,7,2019-01-03,0.44,1,287
18695649,Studio in Antwerpen city,129393935,Catherine,,Haringrode,51.20161,4.42983,Private room,41,1,99,2019-01-27,4.73,1,0
18700317,Cosy Studio In The Center,125816841,Serge,,Historisch Centrum,51.21924,4.39731,Entire home/apt,75,2,72,2019-01-03,3.64,1,212
18711244,Trendy appartement met zicht op MAS,127816585,Dries,,Eilandje,51.23106,4.41307,Entire home/apt,0,2,1,2017-06-04,0.05,1,0
18720632,Gezellige 1 slk appartement,43156632,Jin-Koo,,Zuid,51.20891,4.4009,Entire home/apt,60,2,1,2018-01-20,0.08,1,0
18723756,Cozy apartment in the centre of Antwerp,130212050,Gaelle,,Stadspark,51.20835,4.40912,Entire home/apt,79,7,21,2018-12-18,1.16,1,131
18732815,Ruime 2 pers. kamer in Herenhuis,73367584,Veerle,,Hoboken - Centrum,51.1768,4.35018,Private room,52,1,17,2019-02-10,0.89,3,318
18753983,Cosy apartment very close to city center,60756836,Ann,,Brederode,51.19869,4.39349,Entire home/apt,38,7,2,2019-01-27,0.55,5,333
18798819,Antwerpen,130863817,Evelyn,,Stadspark,51.21549,4.41548,Entire home/apt,1250,1,0,,,1,0
18801315,The loft by Cityworkers 150m² with sunny terrace!,37032827,Claudia,,Historisch Centrum,51.22039,4.39883,Entire home/apt,439,2,1,2018-12-07,0.43,5,132
18814640,"Charming, bright and green apartment near center",5667241,Johanna,,Borgerhout Intra Muros Noord,51.21539,4.43482,Entire home/apt,80,2,8,2017-07-31,0.40,1,0
18822436,Bright and cosy flat with a sunny balcony,39427857,Frederik,,Borgerhout Intra Muros Noord,51.21677,4.43006,Entire home/apt,38,3,16,2018-11-12,0.77,1,155
18822899,Bright vintage-industrial room with roof terrace,131060186,Sarah,,Historisch Centrum,51.22559,4.40473,Private room,37,2,132,2019-02-03,6.28,1,129
18823301,"Cosy house with garden, close to city centre",131063210,Wim,,Linkeroever,51.22262,4.38204,Entire home/apt,80,3,4,2018-07-29,0.20,1,0
