id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12732876,Lovely double room  apartment CityC,38072348,Juan Pablo,,Dublin City,53.34712,-6.27652,Entire home/apt,120,1,19,2018-09-03,0.58,1,0
12733101,City Centre Charm,13103954,Mary-Clare,,Dublin City,53.33088,-6.26738,Entire home/apt,140,2,118,2018-09-23,3.68,1,43
12733225,Lumy,69239761,Lumy,,Dublin City,53.32631,-6.32243,Private room,40,1,0,,,1,0
12733753,Cozy little studio in Dublin 7,64929919,Anouck,,Dublin City,53.35896,-6.28267,Entire home/apt,30,27,0,,,1,0
12734047,Luxury City Centre Apartment for 4,42144365,Noro,,Dublin City,53.34475,-6.28177,Entire home/apt,70,1,321,2019-01-27,9.78,1,36
12747834,Waterville Sunny Room,8825067,Monika,,Fingal,53.39107,-6.36618,Private room,25,1,1,2016-09-19,0.03,1,0
12748175,Close to City Centre,69337889,Ann Marie,,Dublin City,53.37203,-6.23925,Entire home/apt,120,3,16,2018-08-29,1.88,1,86
12751334,Private room in City Center,69356983,Emmanuel,,Dublin City,53.3473,-6.2707,Private room,40,2,60,2017-09-17,1.78,1,0
12752158,UCD adjacent double bedroom,43712745,James,,Dn Laoghaire-Rathdown,53.30554,-6.23494,Private room,50,1,1,2016-05-16,0.03,1,0
12753211,Delightful family home Sandymount/Ballsbridge,69362311,Ciara,,Dublin City,53.33165,-6.22221,Entire home/apt,200,7,1,2018-07-04,0.13,1,0
12753495,Super Location,22564685,William,,Dublin City,53.33139,-6.22084,Entire home/apt,200,6,0,,,1,0
12753648,2 Bedroom City Penthouse,50718873,James,,Dublin City,53.33696,-6.28533,Private room,80,1,1,2016-05-31,0.03,1,0
12761837,Cosy vibrant double bedroom (on tram/bus line),2732156,Colin,,Dublin City,53.33345,-6.305,Private room,49,3,32,2017-05-21,0.97,1,20
12778275,Cosy contemporary single room .,2170527,Susan,,Dublin City,53.38263,-6.21885,Private room,37,2,28,2019-02-04,1.06,2,221
12779694,Bright Ensuite Double Bedroom in Great Location,12180436,Lisa,,Dublin City,53.33817,-6.23203,Private room,74,2,14,2018-07-13,0.42,1,269
12780666,Christchurch Excellent city centre apartment,42745658,Kevin,,Dublin City,53.34429,-6.27322,Entire home/apt,75,1,333,2019-02-03,10.09,3,138
12791964,Suite A Studio double + guest bed,69652113,Parnell,,Dublin City,53.3504,-6.26112,Entire home/apt,76,1,268,2019-02-11,8.04,6,54
12792719,Master bedroom with ensuite,28354899,Pim,,Dublin City,53.36483,-6.18723,Private room,80,4,0,,,1,0
12801099,Stunning Coach House Circ 1865 Dalkey South Dublin,22815147,Justin,,Dn Laoghaire-Rathdown,53.27489,-6.10131,Entire home/apt,195,5,23,2018-11-16,0.71,2,121
12805244,Suite B Modern 2 Bedroom Studio,69652113,Parnell,,Dublin City,53.35161,-6.26176,Entire home/apt,99,1,139,2019-02-10,4.18,6,98
